RMSEfusion,RMSEreg,RMSEpipe
70.0,89.0,87.0
40.0,28.0,31.0
96.0,99.0,97.0
27.0,23.0,30.0
94.0,93.0,94.0
78.0,82.0,84.0
39.0,42.0,45.0
48.0,46.0,50.0
45.0,43.0,47.0
53.0,53.0,57.0
