RMSEfusion,RMSEreg,RMSEpipe
57.0,74.0,79.0
50.0,57.0,63.0
70.0,101.0,95.0
56.0,68.0,73.0
96.0,88.0,101.0
49.0,88.0,86.0
46.0,49.0,58.0
52.0,55.0,59.0
66.0,112.0,107.0
38.0,44.0,49.0
