RMSEfull	RMSEreg	MAPEfull	MAPEreg
53	56	34	32
50	65	30	26
50	55	29	26
55	58	29	26
80	94	28	24
50	64	31	27
62	133	35	29
60	106	29	26
43	52	31	28
87	127	30	26
