RMSEfull	RMSEreg	MAPEfull	MAPEreg
64	65	141	120
71	71	177	143
70	68	135	114
63	65	161	126
68	68	175	139
71	72	166	128
59	61	140	124
80	76	166	128
64	66	138	117
73	74	180	132
